"PID","infoCond","optimCond","block","banditTrial","estOption","optionType","optOptimality","value","condition","minObs","maxObs"
42811,"info","optim",4,54,"imgNWTK/FindOutNow.jpg","target","optim",100,"info, optim",70,130
42811,"info","optim",4,55,"imgNWTK/KeepItSecret.jpg","non-target","sub",100,"info, optim",70,130
42811,"info","optim",4,55,"imgNWTK/FindOutNow.jpg","target","optim",100,"info, optim",70,130
42811,"info","optim",4,56,"imgNWTK/KeepItSecret.jpg","non-target","sub",100,"info, optim",70,130
42811,"info","optim",4,56,"imgNWTK/FindOutNow.jpg","target","optim",123,"info, optim",70,130
42811,"info","optim",4,57,"imgNWTK/FindOutNow.jpg","target","optim",123,"info, optim",70,130
42811,"info","optim",4,57,"imgNWTK/KeepItSecret.jpg","non-target","sub",100,"info, optim",70,130
42811,"info","optim",4,58,"imgNWTK/FindOutNow.jpg","target","optim",111,"info, optim",70,130
42811,"info","optim",4,58,"imgNWTK/KeepItSecret.jpg","non-target","sub",80,"info, optim",70,130
42811,"info","optim",4,59,"imgNWTK/KeepItSecret.jpg","non-target","sub",80,"info, optim",70,130
42811,"info","optim",4,59,"imgNWTK/FindOutNow.jpg","target","optim",111,"info, optim",70,130
42811,"info","optim",4,60,"imgNWTK/KeepItSecret.jpg","non-target","sub",90,"info, optim",70,130
42811,"info","optim",4,60,"imgNWTK/FindOutNow.jpg","target","optim",100,"info, optim",70,130
44586,"noninfo","eq",4,46,"imgNWTK/triangle.png","target","NA",105,"noninfo, eq",90,110
44586,"noninfo","eq",4,46,"imgNWTK/square.png","non-target","NA",95,"noninfo, eq",90,110
44586,"noninfo","eq",4,47,"imgNWTK/square.png","non-target","NA",100,"noninfo, eq",90,110
44586,"noninfo","eq",4,47,"imgNWTK/triangle.png","target","NA",93,"noninfo, eq",90,110
44586,"noninfo","eq",4,48,"imgNWTK/triangle.png","target","NA",100,"noninfo, eq",90,110
44586,"noninfo","eq",4,48,"imgNWTK/square.png","non-target","NA",95,"noninfo, eq",90,110
44586,"noninfo","eq",4,49,"imgNWTK/square.png","non-target","NA",90,"noninfo, eq",90,110
44586,"noninfo","eq",4,49,"imgNWTK/triangle.png","target","NA",100,"noninfo, eq",90,110
44586,"noninfo","eq",4,50,"imgNWTK/triangle.png","target","NA",105,"noninfo, eq",90,110
44586,"noninfo","eq",4,50,"imgNWTK/square.png","non-target","NA",93,"noninfo, eq",90,110
44586,"noninfo","eq",4,51,"imgNWTK/square.png","non-target","NA",105,"noninfo, eq",90,110
44586,"noninfo","eq",4,51,"imgNWTK/triangle.png","target","NA",95,"noninfo, eq",90,110
