"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","gender","age","language","PID","subStim","optStim","stim1","stim2","infoCond","optimCond","bonus","stimulus","button_pressed","banditTrial","choice","cue","feedback","estimateData","leftOption","rightOption","choiceName","leftInput","rightInput","key_press","postQ","singleEst"
"3832","","bandit-task-exp6","31","1849123","0.0-7.0-0.6","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","22","2","1","0","null","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NaN","NaN","","",""
"1084","","bandit-task-exp6","32","1907121","0.0-7.0-0.7","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","23","2","2","118","null","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NWTKimg/FindOutNow.jpg","NaN","NaN","","",""
"13087","","bandit-task-exp6","33","1954565","0.0-7.0-0.8","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","24","2","2","116","null","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NaN","NaN","","",""
"1042","","bandit-task-exp6","34","1978795","0.0-7.0-0.9","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","25","2","1","0","null","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NaN","NaN","","",""
"12607","","bandit-task-exp6","35","2014101","0.0-7.0-0.10","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","26","2","1","0","null","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NWTKimg/FindOutNow.jpg","NaN","NaN","","",""
"19821","","bandit-task-exp6","36","2056766","0.0-7.0-0.11","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","27","2","1","0","null","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NaN","NaN","","",""
"1091","","bandit-task-exp6","37","2081601","0.0-7.0-0.12","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","28","1","1","73","null","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NaN","NaN","","",""
"1190","","bandit-task-exp6","38","2104875","0.0-7.0-0.13","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","29","1","1","71","null","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NaN","NaN","","",""
"1022","","bandit-task-exp6","39","2128257","0.0-7.0-0.14","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","30","2","2","122","null","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NWTKimg/FindOutNow.jpg","NaN","NaN","","",""
"null","","html-keyboard-response","40","2143265","0.0-8.0","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","<p><b> Congratulations, you have finished this block. </b> </p><p>Please take a short break before moving onto the next block.</p><p>The next block will start after a 15 second break.</p><b>Remember, the point rewards are the same between blocks","","","","","","","","","","","","null","",""
"2410","","bandit-task-exp6","41","2169311","0.0-9.0-0.0","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","31","2","2","124","null","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NaN","NaN","","",""
"6276","","bandit-task-exp6","42","2199067","0.0-9.0-0.1","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","32","2","2","118","null","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NWTKimg/FindOutNow.jpg","NaN","NaN","","",""
"1671","","bandit-task-exp6","43","2224216","0.0-9.0-0.2","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","33","2","2","121","null","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NaN","NaN","","",""
"1118","","bandit-task-exp6","44","2253410","0.0-9.0-0.3","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","34","2","1","0","null","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NWTKimg/FindOutNow.jpg","NaN","NaN","","",""
"743","","bandit-task-exp6","45","2277878","0.0-9.0-0.4","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","35","1","1","82","null","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NaN","NaN","","",""
"549","","bandit-task-exp6","46","2304227","0.0-9.0-0.5","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","36","2","1","0","null","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NWTKimg/FindOutNow.jpg","NaN","NaN","","",""
"6267","","bandit-task-exp6","47","2332813","0.0-9.0-0.6","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","37","2","2","118","null","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NaN","NaN","","",""
"1423","","bandit-task-exp6","48","2357322","0.0-9.0-0.7","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","38","1","2","0","null","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NaN","NaN","","",""
"4705","","bandit-task-exp6","49","2384886","0.0-9.0-0.8","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","39","2","1","0","null","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NWTKimg/FindOutNow.jpg","NaN","NaN","","",""
"4491","","bandit-task-exp6","50","2414967","0.0-9.0-0.9","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","40","2","2","110","null","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NWTKimg/FindOutNow.jpg","NaN","NaN","","",""
"952","","bandit-task-exp6","51","2438823","0.0-9.0-0.10","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","41","2","2","110","null","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NWTKimg/FindOutNow.jpg","NaN","NaN","","",""
"1771","","bandit-task-exp6","52","2466346","0.0-9.0-0.11","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","42","2","2","120","null","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NaN","NaN","","",""
"1611","","bandit-task-exp6","53","2493503","0.0-9.0-0.12","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","43","2","2","123","null","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NWTKimg/FindOutNow.jpg","NaN","NaN","","",""
"5150","","bandit-task-exp6","54","2523370","0.0-9.0-0.13","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","44","2","1","0","null","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NaN","NaN","","",""
"1573","","bandit-task-exp6","55","2549047","0.0-9.0-0.14","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","45","2","2","121","null","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NaN","NaN","","",""
"null","","html-keyboard-response","56","2564057","0.0-10.0","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","<p><b> Congratulations, you have finished this block. </b> </p><p>Please take a short break before moving onto the next block.</p><p>The next block will start after a 15 second break.</p><b>Remember, the point rewards are the same between blocks","","","","","","","","","","","","null","",""
"34430","","bandit-task-exp6","57","2632013","0.0-11.0-0.0","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","46","2","2","123","null","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","100","100","","",""
"10992","","bandit-task-exp6","58","2666509","0.0-11.0-0.1","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","47","1","2","0","null","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","100","123","","",""
"8587","","bandit-task-exp6","59","2696803","0.0-11.0-0.2","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","48","1","1","71","null","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","100","123","","",""
